Id_node;y;x;Id_place;Geom
3;0;103;23440.0;Point (486327.9497 6707043.9352)
131;133;11;23282.0;Point (486143.9497 6706777.9352)
146;153;15;23296.0;Point (486151.9497 6706737.9352)
179;193;112;41287.0;Point (486345.9497 6706657.9352)
35;42;174;41372.0;Point (486469.9497 6706959.9352)
28;35;38;23363.0;Point (486197.9497 6706973.9352)
105;106;53;23269.0;Point (486227.9497 6706831.9352)
16;16;66;23369.0;Point (486253.9497 6707011.9352)
51;56;55;23305.0;Point (486231.9497 6706931.9352)
156;165;204;41326.0;Point (486529.9497 6706713.9352)
170;185;22;23166.0;Point (486165.9497 6706673.9352)
33;39;186;40969.0;Point (486493.9497 6706965.9352)
54;58;88;23331.0;Point (486297.9497 6706927.9352)
167;178;21;23167.0;Point (486163.9497 6706687.9352)
88;90;50;23320.0;Point (486221.9497 6706863.9352)
41;46;32;23326.0;Point (486185.9497 6706951.9352)
14;12;65;23385.0;Point (486251.9497 6707019.9352)
184;201;9;23171.0;Point (486139.9497 6706641.9352)
32;38;199;40971.0;Point (486519.9497 6706967.9352)
6;0;177;25258.0;Point (486475.9497 6707043.9352)
7;2;112;23457.0;Point (486345.9497 6707039.9352)
182;199;114;41321.0;Point (486349.9497 6706645.9352)
86;89;188;41340.0;Point (486497.9497 6706865.9352)
183;199;196;41280.0;Point (486513.9497 6706645.9352)
69;70;192;41327.0;Point (486505.9497 6706903.9352)
188;205;115;41313.0;Point (486351.9497 6706633.9352)
75;80;0;23312.0;Point (486121.9497 6706883.9352)
113;116;155;41370.0;Point (486431.9497 6706811.9352)
171;185;126;41371.0;Point (486373.9497 6706673.9352)
161;171;181;41358.0;Point (486483.9497 6706701.9352)
18;18;26;23215.0;Point (486173.9497 6707007.9352)
144;152;23;23259.0;Point (486167.9497 6706739.9352)
174;188;113;41361.0;Point (486347.9497 6706667.9352)
56;61;74;23339.0;Point (486269.9497 6706921.9352)
24;26;28;23222.0;Point (486177.9497 6706991.9352)
27;31;76;23443.0;Point (486273.9497 6706981.9352)
81;84;89;23328.0;Point (486299.9497 6706875.9352)
20;22;108;23444.0;Point (486337.9497 6706999.9352)
166;176;161;41349.0;Point (486443.9497 6706691.9352)
141;144;164;41365.0;Point (486449.9497 6706755.9352)
175;189;193;41333.0;Point (486507.9497 6706665.9352)
68;69;37;23333.0;Point (486195.9497 6706905.9352)
63;64;59;23321.0;Point (486239.9497 6706915.9352)
153;161;17;23293.0;Point (486155.9497 6706721.9352)
43;48;93;23313.0;Point (486307.9497 6706947.9352)
155;163;210;41330.0;Point (486541.9497 6706717.9352)
197;213;109;41298.0;Point (486339.9497 6706617.9352)
200;216;117;41305.0;Point (486355.9497 6706611.9352)
143;146;54;23279.0;Point (486229.9497 6706751.9352)
70;72;22;23306.0;Point (486165.9497 6706899.9352)
159;170;19;23169.0;Point (486159.9497 6706703.9352)
118;120;48;23273.0;Point (486217.9497 6706803.9352)
195;212;190;40980.0;Point (486501.9497 6706619.9352)
124;125;207;40985.0;Point (486535.9497 6706793.9352)
76;80;156;41353.0;Point (486433.9497 6706883.9352)
31;38;194;40968.0;Point (486509.9497 6706967.9352)
8;3;71;23442.0;Point (486263.9497 6707037.9352)
154;161;217;41336.0;Point (486555.9497 6706721.9352)
132;133;129;41367.0;Point (486379.9497 6706777.9352)
142;146;10;23292.0;Point (486141.9497 6706751.9352)
59;62;190;41337.0;Point (486501.9497 6706919.9352)
