Step;P_1_Trait;P_2_Trait;P_3_Trait;P_4_Trait;P_5_Trait;P_6_Trait;P_7_Trait;P_8_Trait;P_9_Trait;P_10_Trait;P_11_Trait;P_12_Trait;P_13_Trait;P_14_Trait;P_15_Trait;P_16_Trait;P_17_Trait;P_18_Trait;P_19_Trait;P_20_Trait;P_21_Trait;P_22_Trait;P_23_Trait;P_24_Trait;P_25_Trait;P_26_Trait;P_27_Trait;P_28_Trait;P_29_Trait;P_30_Trait;P_31_Trait;P_32_Trait;P_33_Trait;P_34_Trait;P_35_Trait;P_36_Trait;P_37_Trait;P_38_Trait;P_39_Trait;P_40_Trait;H
18;5.0;5.0;6.3636365;6.3636365;7.603306;6.3636365;11.532891;5.0;12.3026285;7.603306;11.834474;8.057711;6.8665266;5.0;8.090118;4.6632147;3.884703;3.3739336;5.0;3.5969586;4.3551583;3.8624163;3.1658711;4.1110296;4.643529;4.353109;3.184639;3.2034209;4.6615524;4.0427227;4.385943;4.072064;2.3831055;3.4121056;4.6646314;4.6719303;4.6546493;4.0655065;5.0;5.0;2.677998
19;5.0;6.3636365;6.3636365;6.3636365;7.603306;6.3636365;11.532891;5.0;12.3026285;7.603306;12.576795;8.057711;6.8665266;5.0;8.090118;4.6632147;3.6934934;3.3739336;5.0;3.4114761;4.3551583;3.8624163;3.1658711;3.8753965;4.643529;4.353109;3.184639;3.2034209;4.6615524;4.0427227;4.385943;4.072064;2.3052328;3.2393734;4.6646314;4.6719303;4.6546493;4.0655065;5.0;5.0;2.705221
20;5.0;6.3636365;6.3636365;6.3636365;7.603306;6.3636365;11.532891;5.0;12.3026285;7.603306;13.865119;8.057711;6.8665266;5.0;8.090118;4.4031243;3.6934934;3.3739336;5.0;3.4114761;4.3551583;3.8624163;3.0214152;3.8753965;4.643529;4.097801;3.184639;3.2034209;4.6615524;4.0427227;4.385943;4.072064;2.2352102;3.2393734;4.6646314;4.6719303;4.370669;4.0655065;5.0;5.0;2.755221
21;5.0;6.3636365;6.3636365;6.3636365;7.603306;6.3636365;11.532891;5.0;12.3026285;7.603306;14.929851;7.4916053;6.8665266;5.0;8.090118;4.4031243;3.6934934;3.3739336;5.0;3.4114761;4.3551583;3.8624163;2.8915217;3.6660452;4.643529;4.097801;3.184639;3.0524383;4.6615524;4.0427227;4.385943;4.072064;2.2352102;3.2393734;4.6646314;4.6719303;4.1153164;4.0655065;5.0;5.0;2.7995818
22;6.3636365;6.3636365;6.3636365;6.3636365;7.603306;6.3636365;11.532891;5.0;12.3026285;8.730278;14.929851;7.4916053;6.8665266;5.0;8.090118;4.4031243;3.6934934;3.3739336;5.0;3.4114761;4.1312532;3.8624163;2.8915217;3.478835;4.643529;4.097801;3.184639;2.9199743;4.6615524;3.816935;4.385943;4.072064;2.2352102;3.2393734;4.6646314;4.6719303;4.1153164;4.0655065;4.689964;5.0;2.8398228
23;7.603306;6.3636365;6.3636365;6.3636365;7.603306;6.3636365;11.532891;5.0;12.3026285;8.730278;14.929851;7.4916053;8.060479;5.0;8.090118;4.4031243;3.6934934;3.094691;5.0;3.4114761;4.1312532;3.8624163;2.8915217;3.478835;4.643529;4.097801;3.184639;2.800864;4.6615524;3.816935;4.385943;4.072064;2.1759772;3.2393734;4.6646314;4.3947887;4.1153164;4.0655065;4.689964;5.0;2.8898227
24;7.603306;6.3636365;7.603306;6.3636365;7.603306;7.603306;11.532891;5.0;12.3026285;8.730278;14.929851;7.4916053;8.060479;4.7210016;8.090118;4.4031243;3.6934934;3.094691;5.0;3.4114761;4.1312532;3.8624163;2.7780294;3.478835;4.643529;3.8727953;3.184639;2.6907942;4.6615524;3.816935;4.385943;4.072064;2.1759772;3.0952082;4.6646314;4.3947887;4.1153164;4.0655065;4.689964;5.0;2.8363485
25;7.603306;6.3636365;7.603306;6.3636365;7.603306;7.603306;11.532891;5.0;12.3026285;8.730278;15.390774;7.4916053;9.14589;4.7210016;8.090118;4.4031243;3.6934934;2.991665;5.0;3.2518392;4.1312532;3.8624163;2.6752303;3.478835;4.643529;3.8727953;3.184639;2.5918207;4.6615524;3.816935;4.385943;4.072064;2.1759772;3.0952082;4.3923244;4.3947887;4.1153164;4.0655065;4.689964;5.0;2.9373262
26;7.603306;6.3636365;7.603306;6.3636365;7.603306;7.603306;11.532891;5.0;13.002389;8.730278;15.809794;7.4916053;9.14589;4.7210016;8.090118;4.4031243;3.6934934;2.991665;4.7247844;3.108295;4.1312532;3.8624163;2.6752303;3.478835;4.643529;3.8727953;3.184639;2.5069675;4.6615524;3.816935;4.385943;4.072064;2.0860696;3.0952082;4.3923244;4.3947887;4.1153164;4.0655065;4.689964;5.0;2.879044
27;7.603306;6.3636365;7.603306;6.3636365;7.603306;7.603306;11.532891;5.0;13.6385355;9.754798;15.809794;7.4916053;9.14589;4.7210016;8.090118;4.4031243;3.6934934;2.90175;4.7247844;3.108295;4.1312532;3.8624163;2.6752303;3.3160763;4.372997;3.8727953;3.184639;2.5069675;4.6615524;3.816935;4.385943;4.072064;2.0126097;3.0952082;4.3923244;4.3947887;4.1153164;4.0655065;4.689964;5.0;2.879044
28;7.603306;6.3636365;7.603306;6.3636365;7.603306;7.603306;11.532891;5.0;14.21685;9.754798;16.190722;7.4916053;9.14589;4.7210016;8.090118;4.4031243;3.6934934;2.8208992;4.7247844;2.9808328;4.1312532;3.8624163;2.6752303;3.3160763;4.372997;3.8727953;3.184639;2.3596854;4.6615524;3.816935;4.385943;4.072064;2.0126097;2.968962;4.3923244;4.3947887;4.1153164;4.0655065;4.689964;5.0;2.9035554
29;7.603306;6.3636365;7.603306;6.3636365;7.603306;8.730278;11.532891;5.0;14.21685;9.754798;16.190722;7.4916053;10.1326275;4.475565;8.090118;4.4031243;3.6934934;2.8208992;4.7247844;2.8662205;4.1312532;3.8624163;2.587042;3.3160763;4.372997;3.8727953;3.184639;2.3596854;4.6615524;3.816935;4.385943;4.072064;2.0126097;2.744875;4.3923244;4.3947887;4.1153164;4.0655065;4.689964;5.0;2.9937963
30;7.603306;6.3636365;7.603306;6.3636365;7.603306;9.754798;11.532891;5.0;14.742592;9.754798;16.190722;7.4916053;10.1326275;4.475565;8.090118;4.4031243;3.5438967;2.8208992;4.7247844;2.8662205;4.1312532;3.8624163;2.5077438;3.1721218;4.372997;3.8727953;3.184639;2.3596854;4.38726;3.816935;4.385943;4.072064;1.987046;2.744875;4.3923244;4.3947887;4.1153164;4.0655065;4.689964;5.0;3.0912998
